year,competition,player,team,goals
2009,Apertura 08/09,Emiliano Alfaro,Liverpool,7
2009,Apertura 08/09,Sergio Leal,Danubio,7
2009,Apertura 08/09,William Ferreira,Defensor,6
2009,Apertura 08/09,Santiago García,Nacional,6
2009,Apertura 08/09,José María Franco,Peñarol,6
2009,Apertura 08/09,Sebastián Andrés Balsas,Racing,6
2009,Apertura 08/09,Henry Damián Giménez,River,5
2009,Apertura 08/09,Mauro Adrián Vila,Defensor,5
2009,Apertura 08/09,Antonio Pacheco,Peñarol,5
2009,Apertura 08/09,Jonathan Charquero,Wanderers,5
2009,Apertura 08/09,Diego Ifrán,Danubio,4
2009,Apertura 08/09,Jonathan Blanes,Racing,4
2009,Apertura 08/09,Martín Crossa,Central Español,4
2009,Apertura 08/09,Líber Daniel Quiñones,Racing,4
2009,Apertura 08/09,Carlos Heber Bueno,Peñarol,4
2009,Apertura 08/09,Sergio Blanco,Nacional,4
2009,Apertura 08/09,Pablo Eduardo Caballero,Cerro,4
2009,Apertura 08/09,Jorge García,Danubio,4
2009,Apertura 08/09,Hernán Figueredo,Villa Española,4
2009,Apertura 08/09,Julian Perujo,Rampla Juniors,4
2009,Apertura 08/09,Danilo Peinado,Liverpool,3
2009,Apertura 08/09,Fabian Coelho,Central Español,3
2009,Apertura 08/09,Ruben Cecco,Bella Vista,3
2009,Apertura 08/09,Diego De Souza,Defensor,3
2009,Apertura 08/09,Abel Mathías Hernández,Peñarol,3
2009,Apertura 08/09,Luigi Rodríguez,Cerro Largo,3
2009,Apertura 08/09,Richard Núñez,Peñarol,3
2009,Apertura 08/09,Matias Perez,Danubio,3
2009,Apertura 08/09,Junior Aliberti,Cerro,3
2009,Apertura 08/09,Dean Silvera,Cerro Largo,3
2009,Apertura 08/09,Darío Larrosa,Racing,3
2009,Apertura 08/09,Diego Silva,River,3
2009,Apertura 08/09,Aldo Fabián Díaz,Tacuarembó,3
2009,Apertura 08/09,Maximiliano Daniel Pérez,Defensor,3
2009,Apertura 08/09,Alexander Medina,Nacional,3
2009,Apertura 08/09,Diego Martiñónes,Tacuarembó,3
2009,Apertura 08/09,Adrián Marcelo Romero,Nacional,2
2009,Apertura 08/09,Enrique Meza,Juventud,2
2009,Apertura 08/09,Jonathan Laserda,Wanderers,2
2009,Apertura 08/09,Pablo Meloño,River,2
2009,Apertura 08/09,Marcelo Ferreira,Villa Española,2
2009,Apertura 08/09,Elías Figueroa,Liverpool,2
2009,Apertura 08/09,Pablo Antonio Pallante,Cerro,2
2009,Apertura 08/09,Héctor Ignacio La Luz,Central Español,2
2009,Apertura 08/09,Javier Benia,Juventud,2
2009,Apertura 08/09,Ernesto Goñi,Racing,2
2009,Apertura 08/09,Sebastian Merlo,Rampla Juniors,2
2009,Apertura 08/09,Braian Damián Rodríguez,Tacuarembó,2
2009,Apertura 08/09,Alejandro Reyes,Bella Vista,2
2009,Apertura 08/09,Jesús Darwin Ramírez,Central Español,2
2009,Apertura 08/09,Luis Ignacio Medina,Peñarol,2
2009,Apertura 08/09,Danilo Asconeguy,Peñarol,2
2009,Apertura 08/09,Sergio Souza,River,2
2009,Apertura 08/09,Paulo Pezzolano,Liverpool,2
2009,Apertura 08/09,Mauricio Sebastián Díaz,Cerro Largo,2
2009,Apertura 08/09,Marcelo Palau,Rampla Juniors,2
2009,Apertura 08/09,Andrés Rodríguez,Cerro,2
2009,Apertura 08/09,Diego Gonzalo Chaves,Wanderers,2
2009,Apertura 08/09,Marcelo Sebastián Regueiro,Cerro,2
2009,Apertura 08/09,Roberto Sebastián Brum,Nacional,2
2009,Apertura 08/09,Rodrigo Martín Muñoz,Cerro,2
2009,Apertura 08/09,Francisco Rolando Silva,Central Español,2
2009,Apertura 08/09,Enzo Scorza,Danubio,2
2009,Apertura 08/09,Sergio Gonzalo Rodríguez,Danubio,2
2009,Apertura 08/09,Agustin Viana,Bella Vista,2
2009,Apertura 08/09,Juan Pablo Rodríguez,Racing,2
2009,Apertura 08/09,Alvaro Fernandez,Nacional,2
2009,Apertura 08/09,Gaston Puerari,Rampla Juniors,1
2009,Apertura 08/09,Mauricio Rosa,Rampla Juniors,1
2009,Apertura 08/09,Walt Baez,Bella Vista,1
2009,Apertura 08/09,Hernan Perez,Rampla Juniors,1
2009,Apertura 08/09,Hamilton Pereira,Tacuarembó,1
2009,Apertura 08/09,Pablo Olivera,Cerro Largo,1
2009,Apertura 08/09,Alvaro Ricci,Rampla Juniors,1
2009,Apertura 08/09,Sebastian Sanchez,Tacuarembó,1
2009,Apertura 08/09,Juan Francisco Ferreri,Central Español,1
2009,Apertura 08/09,Octavio Sequeira,Tacuarembó,1
2009,Apertura 08/09,Pablo Caballero,Nacional,1
2009,Apertura 08/09,Carlos Avelino,Bella Vista,1
2009,Apertura 08/09,Victor Guadalupe,Rampla Juniors,1
2009,Apertura 08/09,Nelson Semperena,Central Español,1
2009,Apertura 08/09,Matías Cabrera,Cerro,1
2009,Apertura 08/09,Claudio Martín Dadomo,Cerro,1
2009,Apertura 08/09,Cristian Olivera,Villa Española,1
2009,Apertura 08/09,Nicolás Nicolay,River,1
2009,Apertura 08/09,Washington Camacho,Bella Vista,1
2009,Apertura 08/09,Diego Vitabar,River,1
2009,Apertura 08/09,Zinho,Villa Española,1
2009,Apertura 08/09,William Klingender,River,1
2009,Apertura 08/09,Jorge Alvez,Bella Vista,1
2009,Apertura 08/09,Mauricio Victorino,Nacional,1
2009,Apertura 08/09,Facundo Martinez,Rampla Juniors,1
2009,Apertura 08/09,Michel Acosta,Liverpool,1
2009,Apertura 08/09,Richard Pellejero,Cerro,1
2009,Apertura 08/09,Federico Laens,Wanderers,1
2009,Apertura 08/09,Oscar Javier Morales,Nacional,1
2009,Apertura 08/09,Gastón Machado,Danubio,1
2009,Apertura 08/09,Pablo Pereira,Rampla Juniors,1
2009,Apertura 08/09,Alvaro Méndez,Juventud,1
2009,Apertura 08/09,Julián Lalinde,Liverpool,1
2009,Apertura 08/09,Carlos Díaz,Defensor,1
2009,Apertura 08/09,Daniel Hernandez,Villa Española,1
2009,Apertura 08/09,Juan Jose Tancredi,Bella Vista,1
2009,Apertura 08/09,Hugo Fernando Souza,Cerro Largo,1
2009,Apertura 08/09,Julian Ruelli,Liverpool,1
2009,Apertura 08/09,Gonzalo Castro,Rampla Juniors,1
2009,Apertura 08/09,Rodrigo Mora,Defensor,1
2009,Apertura 08/09,Néstor Esteban Conde,Danubio,1
2009,Apertura 08/09,Ribaír Rodríguez,Danubio,1
2009,Apertura 08/09,Carlos Andrés Rodales,Liverpool,1
2009,Apertura 08/09,Eduardo Aranda,Liverpool,1
2009,Apertura 08/09,Sebastián Marcelo Suárez,Cerro,1
2009,Apertura 08/09,Alberto Yamandú Silva,Cerro Largo,1
2009,Apertura 08/09,Jorge Martín Rodríguez,River,1
2009,Apertura 08/09,Maximiliano Lombardi,Peñarol,1
2009,Apertura 08/09,Héctor Baltasar Silva,Tacuarembó,1
2009,Apertura 08/09,Matías Nicolás Pereyra,Tacuarembó,1
2009,Apertura 08/09,Sebastián Rodrigo Martínez,Cerro,1
2009,Apertura 08/09,Víctor Adrián Fagúndez,Wanderers,1
2009,Apertura 08/09,Diego Ferreira,Defensor,1
2009,Apertura 08/09,Paolo Giancarlo Patritti,Liverpool,1
2009,Apertura 08/09,Alvaro Maximiliano Arias,Peñarol,1
2009,Apertura 08/09,Sergio Maximiliano Pérez,Tacuarembó,1
2009,Apertura 08/09,Sergio Damián Santín,Villa Española,1
2009,Apertura 08/09,Christian Apraham Yeladian,Juventud,1
2009,Apertura 08/09,Damián Malrrechaufe,Danubio,1
2009,Apertura 08/09,Fernando Edgardo Correa,Peñarol,1
2009,Apertura 08/09,Héctor Federico Vega,Racing,1
2009,Apertura 08/09,Nathaniel Revetria,River,1
2009,Apertura 08/09,Gastón Filgueira,Nacional,1
2009,Apertura 08/09,Jonathan Larrosa,Villa Española,1
2009,Apertura 08/09,Matías Quagliotti,Wanderers,1
2009,Apertura 08/09,Carlos María Morales,Wanderers,1
2009,Apertura 08/09,Mathías Corujo,Wanderers,1
2009,Apertura 08/09,José Ortiz,Wanderers,1
2009,Apertura 08/09,Santiago López,Wanderers,1
2009,Apertura 08/09,Nicolás López,Racing,1
2009,Apertura 08/09,Jorge Curbello,Defensor,1
2009,Apertura 08/09,Bruno Terra,Central Español,1
2009,Apertura 08/09,Angel Alejandro Morales,Nacional,1
2009,Apertura 08/09,Jonathan Techera,Defensor,1
2009,Apertura 08/09,Renzo Daniel Pozzi,Tacuarembó,1
2009,Apertura 08/09,Pablo Di Fiori,Juventud,1
2009,Apertura 08/09,Ederson Fofonka,Defensor,1
2009,Apertura 08/09,Daley Yesid Mena,Danubio,1
2009,Apertura 08/09,Octavio Darío Rodríguez,Peñarol,1
2009,Apertura 08/09,Víctor Hugo Martínez,Central Español,1
2009,Apertura 08/09,Miguel Murillo,Juventud,1
2009,Apertura 08/09,Pablo Hernández,Racing,1
2009,Apertura 08/09,Javier Delgado,Danubio,1
2009,Apertura 08/09,Maximiliano Dornell,Juventud,1
2009,Apertura 08/09,Mauricio Ruiz,Cerro Largo,1
2009,Apertura 08/09,Miguel De Souza,Cerro Largo,1
2010,Apertura 09/10,Maureen Franco,Cerrito,13
2010,Apertura 09/10,Emiliano Alfaro,Liverpool,13
2010,Apertura 09/10,Diego Ifrán,Danubio,10
2010,Apertura 09/10,Antonio Pacheco,Peñarol,8
2010,Apertura 09/10,Fabricio Núñez(No Usar),Cerro Largo,8
2010,Apertura 09/10,Jonathan Ramis,Peñarol,7
2010,Apertura 09/10,Ismael Sandor Espiga,Central Español,7
2010,Apertura 09/10,Martín Cauteruccio,Racing,7
2010,Apertura 09/10,Marcelo Nicolás Lodeiro,Nacional,7
2010,Apertura 09/10,Diego De Souza,Defensor,6
2010,Apertura 09/10,Alfredo Nicolás Guevara,Rampla Juniors,6
2010,Apertura 09/10,Rafael Refatti,Tacuarembó,5
2010,Apertura 09/10,Danilo Javier Peinado,Wanderers,5
2010,Apertura 09/10,Federico Puppo,River Plate,5
2010,Apertura 09/10,Jorge Zambrana,River Plate,4
2010,Apertura 09/10,Sebastián Jonathan Charquero,Wanderers,4
2010,Apertura 09/10,Gustavo Antonio Varela,Nacional,4
2010,Apertura 09/10,Simón Vanderoeght,Wanderers,4
2010,Apertura 09/10,Alvaro Apolito,Cerro,4
2010,Apertura 09/10,Sergio Rubén Blanco,Nacional,4
2010,Apertura 09/10,Néstor Esteban Conde,Danubio,4
2010,Apertura 09/10,Mathias Mirabajes,Racing,4
2010,Apertura 09/10,Marcelo Fernando Guerrero,Defensor,4
2010,Apertura 09/10,Elias Ricardo Figueroa,Liverpool,3
2010,Apertura 09/10,Pablo Daniel Gaglianone,Defensor,3
2010,Apertura 09/10,Carlos Grossmuller,Danubio,3
2010,Apertura 09/10,Pablo Hernández,Defensor,3
2010,Apertura 09/10,Mathias Damián Riquero,Liverpool,3
2010,Apertura 09/10,Julián Perujo,Rampla Juniors,3
2010,Apertura 09/10,Hamilton Ricard,Danubio,3
2010,Apertura 09/10,Ignacio Risso,Defensor,3
2010,Apertura 09/10,Luciano Cardinali,Fénix,3
2010,Apertura 09/10,Gerardo Alcoba,Peñarol,3
2010,Apertura 09/10,Marcelo Fabián Méndez,Wanderers,3
2010,Apertura 09/10,Jonathan Lacerda,Wanderers,3
2010,Apertura 09/10,Álvaro Damián Navarro,Defensor,3
2010,Apertura 09/10,Jonathan Soto,Cerro,3
2010,Apertura 09/10,Julián Lalinde,Liverpool,3
2010,Apertura 09/10,Jorge Cristian Córdoba,River Plate,3
2010,Apertura 09/10,Jorge Rodríguez,River Plate,3
2010,Apertura 09/10,Néstor Fabián Silva,Racing,3
2010,Apertura 09/10,Liber Daniel Quiñones,Racing,3
2010,Apertura 09/10,Marco Antonio García Nascimento,Atenas,3
2010,Apertura 09/10,Nicolás Andrés Nicolay,Tacuarembó,2
2010,Apertura 09/10,Alejandro Martinuccio,Peñarol,2
2010,Apertura 09/10,Sebastián Balsas,Nacional,2
2010,Apertura 09/10,Román Marcelo Cuello,Racing,2
2010,Apertura 09/10,Bryan Rodríguez,Peñarol,2
2010,Apertura 09/10,Franco Ariel Sosa,Tacuarembó,2
2010,Apertura 09/10,Bruno Barreto González,Rampla Juniors,2
2010,Apertura 09/10,Jonathan Alexander Ramirez,Tacuarembó,2
2010,Apertura 09/10,Juan Manuel Ortiz,Cerrito,2
2010,Apertura 09/10,Luigi Rodríguez,Cerro Largo,2
2010,Apertura 09/10,Matias Rodriguez,Nacional,2
2010,Apertura 09/10,Abel Nazario,Cerro Largo,2
2010,Apertura 09/10,Mauricio Díaz,Liverpool,2
2010,Apertura 09/10,Rony Flores,Atenas,2
2010,Apertura 09/10,Santiago Damián García,Nacional,2
2010,Apertura 09/10,Álvaro Rafael González,Nacional,2
2010,Apertura 09/10,Facundo Escalante,Cerrito,2
2010,Apertura 09/10,Ángel Alejandro Morales,Nacional,2
2010,Apertura 09/10,Sebastián Coates,Nacional,2
2010,Apertura 09/10,Rodrigo Cabrera,Defensor,2
2010,Apertura 09/10,Richard Aníbal Porta,River Plate,2
2010,Apertura 09/10,Juan Ferrés,River Plate,2
2010,Apertura 09/10,Carlos Antonio Aguiar,Fénix,2
2010,Apertura 09/10,Juan Ernesto Casado,Cerro Largo,2
2010,Apertura 09/10,Diego Rafael Perrone,Central Español,2
2010,Apertura 09/10,Fabian Trujillo,Cerro,2
2010,Apertura 09/10,Alvaro Méndez,Rampla Juniors,2
2010,Apertura 09/10,Diego Daniel Vera,Nacional,2
2010,Apertura 09/10,Mario Ignacio Regueiro,Nacional,2
2010,Apertura 09/10,André Luis Rodrigues Lopes,River Plate,1
2010,Apertura 09/10,Gonzalo Daniel Lemes Rodríguez,Atenas,1
2010,Apertura 09/10,Marcel Román Núñez,Peñarol,1
2010,Apertura 09/10,Nelson Techera,Cerrito,1
2010,Apertura 09/10,Hernán Figueredo,Liverpool,1
2010,Apertura 09/10,Paolo Giancarlo Patritti,Liverpool,1
2010,Apertura 09/10,Tabaré Viudez,Defensor,1
2010,Apertura 09/10,Sebastián Taborda,Defensor,1
2010,Apertura 09/10,Álvaro Maximiliano Arias,Fénix,1
2010,Apertura 09/10,Ribair Rodríguez,Danubio,1
2010,Apertura 09/10,Peter Javier Vera,Rampla Juniors,1
2010,Apertura 09/10,Gastón Ezequiel Ramírez,Peñarol,1
2010,Apertura 09/10,Sergio Gonzalo Rodríguez,Danubio,1
2010,Apertura 09/10,Alejandro Clever Reyes,Racing,1
2010,Apertura 09/10,Daniel Alejandro Lembo,Nacional,1
2010,Apertura 09/10,Héctor Martín Icart Atahídes,Rampla Juniors,1
2010,Apertura 09/10,Aldo Diaz,Liverpool,1
2010,Apertura 09/10,Diego Cardozo Barboza,Cerrito,1
2010,Apertura 09/10,Ricardo Queiro,Cerro,1
2010,Apertura 09/10,Matias Mier,Fénix,1
2010,Apertura 09/10,Héctor Foletti,Cerrito,1
2010,Apertura 09/10,Raúl Molina,Cerro,1
2010,Apertura 09/10,Luís Ignacio Medina,Liverpool,1
2010,Apertura 09/10,Gabriel Marques de Andrade Pinto,River Plate,1
2010,Apertura 09/10,Bruno Montelongo,River Plate,1
2010,Apertura 09/10,John Varela,River Plate,1
2010,Apertura 09/10,Martín Cardozo,Fénix,1
2010,Apertura 09/10,Alvaro Brum,Fénix,1
2010,Apertura 09/10,Guillermo Maidana,Fénix,1
2010,Apertura 09/10,José Maria Franco,River Plate,1
2010,Apertura 09/10,Gaston Pagano,Cerro,1
2010,Apertura 09/10,Cristian Vaquero,Cerro,1
2010,Apertura 09/10,Fernando Alvez,Cerro,1
2010,Apertura 09/10,Pablo Caballero,Cerro,1
2010,Apertura 09/10,Claudio Martín Dadomo,Cerro,1
2010,Apertura 09/10,Maximiliano Lombardi,Cerro,1
2010,Apertura 09/10,Matías Cabrera,Nacional,1
2010,Apertura 09/10,Raúl Freddy Ferro,Nacional,1
2010,Apertura 09/10,Sergio Perez,Central Español,1
2010,Apertura 09/10,Rino Fabricio Lucas,Cerro Largo,1
2010,Apertura 09/10,Eduardo Aranda,Nacional,1
2010,Apertura 09/10,Oscar Javier Morales,Nacional,1
2010,Apertura 09/10,Darwin Ramírez,Central Español,1
2010,Apertura 09/10,Darío Larrosa,Racing,1
2010,Apertura 09/10,Gaston Machado,Racing,1
2010,Apertura 09/10,Jean Pierre Barrientos,Racing,1
2010,Apertura 09/10,Alexander Silva,Central Español,1
2010,Apertura 09/10,Gonzalo Da Luz,Central Español,1
2010,Apertura 09/10,Ernesto Goñi,Racing,1
2010,Apertura 09/10,Luis Machado,Tacuarembó,1
2010,Apertura 09/10,Marcelo Silva,Danubio,1
2010,Apertura 09/10,Pablo Míguez,Danubio,1
2010,Apertura 09/10,Nicolás Pereira,Tacuarembó,1
2010,Apertura 09/10,Héctor Matías Dos Santos Bueno,Tacuarembó,1
2010,Apertura 09/10,Gonzalo Piriz,Tacuarembó,1
2010,Apertura 09/10,Jorge Adrián García,Danubio,1
2010,Apertura 09/10,Andrés Rodales,Liverpool,1
2010,Apertura 09/10,Carlos Germán Macchi,Liverpool,1
2010,Apertura 09/10,Carlos Andrés Sánchez,Liverpool,1
2010,Apertura 09/10,César Ceballos,Defensor,1
2010,Apertura 09/10,Eduardo Fernandez,Atenas,1
2010,Apertura 09/10,Jorge Ramírez,Atenas,1
2010,Apertura 09/10,Mathías Corujo,Wanderers,1
2010,Apertura 09/10,Julio Rodríguez,Wanderers,1
2010,Apertura 09/10,Emiliano Tellechea,Wanderers,1
2010,Apertura 09/10,Fernando Martín Bonjour,Rampla Juniors,1
2010,Apertura 09/10,Alvaro Darío Alonso,Rampla Juniors,1
2010,Apertura 09/10,Fernando Curcio,Rampla Juniors,1
2010,Apertura 09/10,Ezequiel Videla,Wanderers,1
2010,Apertura 09/10,Diego Martin Alonso,Peñarol,1
2010,Apertura 09/10,Renzo Daniel Pozzi,Tacuarembó,1
2010,Apertura 09/10,Sebastián Sánchez,Tacuarembó,1
2010,Apertura 09/10,Santiago López Bruzzese,Wanderers,1
2010,Apertura 09/10,Ignacio Ithurralde,Peñarol,1
2010,Apertura 09/10,Julio Fabián Mozzo Valdéz,Peñarol,1
2011,Clausura 10/11,Cristian Palacios,Central Español,15
2011,Clausura 10/11,Santiago Damián García,Nacional,8
2011,Clausura 10/11,Liber Daniel Quiñones,Racing,8
2011,Clausura 10/11,Maximiliano Pérez,Fénix,8
2011,Clausura 10/11,Gabriel Alvez,El Tanque Sisley,6
2011,Clausura 10/11,Jonathan Alexander Ramirez,River Plate,5
2011,Clausura 10/11,Gaston Colman,Tacuarembó,5
2011,Clausura 10/11,César David Texeira,Defensor,5
2011,Clausura 10/11,Carlos Nuñez,Liverpool,5
2011,Clausura 10/11,Antoine P Helha,El Tanque Sisley,5
2011,Clausura 10/11,Juan Manuel Olivera,Peñarol,5
2011,Clausura 10/11,Emiliano Tellechea,Wanderers,5
2011,Clausura 10/11,Emiliano Alfaro,Liverpool,5
2011,Clausura 10/11,Diego Rafael Perrone,Danubio,5
2011,Clausura 10/11,Jean Pierre Barrientos,Racing,5
2011,Clausura 10/11,Richard Aníbal Porta,Nacional,5
2011,Clausura 10/11,Antonio Pacheco,Peñarol,5
2011,Clausura 10/11,Bruno Fornaroli,Nacional,4
2011,Clausura 10/11,Maximiliano Rodriguez,Wanderers,4
2011,Clausura 10/11,Andres Rodriguez,Miramar Misiones,4
2011,Clausura 10/11,Omar Pérez,Cerro,4
2011,Clausura 10/11,Ignacio Risso,Defensor,4
2011,Clausura 10/11,Álvaro Recoba,Danubio,4
2011,Clausura 10/11,Mathias Alonso,Cerro,4
2011,Clausura 10/11,Julián Lalinde,Rampla Juniors,4
2011,Clausura 10/11,Richard Núñez,Rampla Juniors,4
2011,Clausura 10/11,José Maria Franco,River Plate,4
2011,Clausura 10/11,Matías Quagliotti,Wanderers,4
2011,Clausura 10/11,Darío Larrosa,Racing,4
2011,Clausura 10/11,Alexander Jesús Medina,River Plate,4
2011,Clausura 10/11,Jonathan Sandoval,Wanderers,3
2011,Clausura 10/11,Nicolás Federico López,Nacional,3
2011,Clausura 10/11,Pablo Daniel Gaglianone,River Plate,3
2011,Clausura 10/11,Román Marcelo Cuello,Fénix,3
2011,Clausura 10/11,Maureen Franco,Liverpool,3
2011,Clausura 10/11,José Pablo Varela,Bella Vista,3
2011,Clausura 10/11,Tabaré Viudez,Nacional,3
2011,Clausura 10/11,Sebastian García,Tacuarembó,3
2011,Clausura 10/11,Santiago Fosgt,Fénix,3
2011,Clausura 10/11,Fernando Correa,River Plate,3
2011,Clausura 10/11,Ignacio Nicolini,Bella Vista,3
2011,Clausura 10/11,Jonathan Alexis Pérez,Bella Vista,3
2011,Clausura 10/11,Marcelo Daniel Gallardo,Nacional,3
2011,Clausura 10/11,Héctor Anselmo Vázquez,Tacuarembó,3
2011,Clausura 10/11,Matías Britos,Rampla Juniors,3
2011,Clausura 10/11,Jonathan Matías Urretaviscaya da Luz,Peñarol,3
2011,Clausura 10/11,Walter Fernando Guglielmone,Wanderers,3
2011,Clausura 10/11,Sebastián Fernández,Miramar Misiones,2
2011,Clausura 10/11,Agustín Viana,Bella Vista,2
2011,Clausura 10/11,Sebastián Jonathan Charquero,Nacional,2
2011,Clausura 10/11,Pablo Antonio Pallante,Cerro,2
2011,Clausura 10/11,Matías Vecino,Central Español,2
2011,Clausura 10/11,Leonardo Andrés Medina,Miramar Misiones,2
2011,Clausura 10/11,Anderzon Gonzaga,Danubio,2
2011,Clausura 10/11,Adrián Nicolás Luna,Defensor,2
2011,Clausura 10/11,Sergio Souza,Central Español,2
2011,Clausura 10/11,Javier Cabrera,Wanderers,2
2011,Clausura 10/11,Federico Gomez,Racing,2
2011,Clausura 10/11,Alejandro Silva,Fénix,2
2011,Clausura 10/11,Fabián Estoyanoff,Peñarol,2
2011,Clausura 10/11,Miguel Murillo,El Tanque Sisley,2
2011,Clausura 10/11,Mathías Corujo,Peñarol,2
2011,Clausura 10/11,Marcelo Broli,Rampla Juniors,2
2011,Clausura 10/11,Fabian Trujillo,Cerro,2
2011,Clausura 10/11,Maximiliano Bajter,Fénix,2
2011,Clausura 10/11,Luís Bernardo Aguiar,Peñarol,2
2011,Clausura 10/11,Diego Martin Alonso,Peñarol,2
2011,Clausura 10/11,Alejandro Martinuccio,Peñarol,2
2011,Clausura 10/11,Pablo Caballero,Cerro,2
2011,Clausura 10/11,Andrés Pablo Fernández2,Central Español,2
2011,Clausura 10/11,Eduardo Aranda,Defensor,2
2011,Clausura 10/11,Antonio Fernández,El Tanque Sisley,2
2011,Clausura 10/11,Wálter Fabián Coelho,El Tanque Sisley,2
2011,Clausura 10/11,Federico Puppo,River Plate,2
2011,Clausura 10/11,Jorge Zambrana,River Plate,2
2011,Clausura 10/11,Danilo Moreno Asprilla,Rampla Juniors,2
2011,Clausura 10/11,Aldo Diaz,Tacuarembó,2
2011,Clausura 10/11,Janderson Kione Pereira Rodrigues,River Plate,2
2011,Clausura 10/11,Elias Ricardo Figueroa,Liverpool,2
2011,Clausura 10/11,Darwin Ramirez,Central Español,2
2011,Clausura 10/11,Juan Manuel Ortiz,Fénix,2
2011,Clausura 10/11,Pablo Míguez,Danubio,2
2011,Clausura 10/11,Diego Fernández,Miramar Misiones,2
2011,Clausura 10/11,Gonzalo Viera,Miramar Misiones,1
2011,Clausura 10/11,Alvaro González,Danubio,1
2011,Clausura 10/11,Arias Maximiliano,Rampla Juniors,1
2011,Clausura 10/11,Guillermo de los Santos,Cerro,1
2011,Clausura 10/11,Aníbal Hernández,Racing,1
2011,Clausura 10/11,Paulo Vinicius Souza Dos Santos,River Plate,1
2011,Clausura 10/11,Gaston Martinez,El Tanque Sisley,1
2011,Clausura 10/11,Ronald Andrés Ramírez,Wanderers,1
2011,Clausura 10/11,Gastón Martínez,El Tanque Sisley,1
2011,Clausura 10/11,Ignacio La Luz,Tacuarembó,1
2011,Clausura 10/11,Ricardo Azqueta,Bella Vista,1
2011,Clausura 10/11,Rodrigo Cabrera,River Plate,1
2011,Clausura 10/11,John Pirez,Defensor,1
2011,Clausura 10/11,Mauro Vila,Defensor,1
2011,Clausura 10/11,Carlos Eduardo Dutra de Oliveira,Nacional,1
2011,Clausura 10/11,Ezequiel Vazquez,Wanderers,1
2011,Clausura 10/11,Esteban Fernando Maga,Bella Vista,1
2011,Clausura 10/11,Héctor Fabián Acuña,Racing,1
2011,Clausura 10/11,Diego Zabala,Racing,1
2011,Clausura 10/11,Ramón Gines Arias,Defensor,1
2011,Clausura 10/11,Angelo Paleso,Miramar Misiones,1
2011,Clausura 10/11,Rodrigo Pastorini,Peñarol,1
2011,Clausura 10/11,Martín Rodríguez,Liverpool,1
2011,Clausura 10/11,Sebastián Sánchez,Tacuarembó,1
2011,Clausura 10/11,Rodrigo Viega,Peñarol,1
2011,Clausura 10/11,Renzo Daniel Pozzi,Liverpool,1
2011,Clausura 10/11,Guillermo Daniel Rodríguez,Peñarol,1
2011,Clausura 10/11,Andrés Ravecca,Cerro,1
2011,Clausura 10/11,Luciano Cardinali,Fénix,1
2011,Clausura 10/11,Michel Acosta,Liverpool,1
2011,Clausura 10/11,Hernán Figueredo,Liverpool,1
2011,Clausura 10/11,Gonzalo Aguilar,Racing,1
2011,Clausura 10/11,Martín Cardozo,Fénix,1
2011,Clausura 10/11,Alexander Silva,Central Español,1
2011,Clausura 10/11,Mathías Nicolás Abero,Racing,1
